Date,DEFAULT,QUALITY,MOMENTUM,BOOK_TO_PRICE,SIZE,CASH_TO_ASSETS
6/9/11,0.0036,0.0003,0.0046,0.0005,-0.0009,0.0034
6/10/11,-0.0019,-0.0003,-0.006,0.0066,0.0036,0.0002
6/13/11,-0.0046,0.0072,-0.0059,-0.0014,-0.0085,0.0029
6/14/11,0.0085,-0.0062,0.0092,-0.0041,-0.0003,0.0023
6/15/11,-0.0035,0.0042,-0.0045,0.0041,0.004,-0.004
6/16/11,-0.0069,0.0075,-0.0082,0.002,0.0032,-0.0095
6/17/11,-0.0002,-0.0037,-0.0024,0.0082,-0.0013,-0.0064
6/20/11,-0.0018,0.0045,0.005,-0.0026,-0.0054,0.0005
6/21/11,0.0097,-0.014,0.0119,-0.0094,0.0016,0.0047
6/22/11,0.0002,-0.0023,0.0022,0.0006,0.0003,-0.0013
6/23/11,0.0011,-0.0009,0.0045,-0.0068,0.0029,0.0116
